public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,bm_Median,divyield_Median,pe_exi_Median,ptb_Median,gpm_Median,roa_Median,roe_Median
20110228,Financials,750,0.023732,0.024750,0.269,1.027,2.23%,12.691,0.979,0.541,0.017,0.055
20110228,Health Care,557,0.042053,0.034617,0.000,0.377,1.51%,-1.273,2.838,0.411,0.061,0.026
20110228,Industrials,535,0.032664,0.027775,0.000,0.590,1.49%,17.863,1.799,0.285,0.117,0.081
20110228,Information Technology,693,0.054652,0.025800,0.000,0.442,1.46%,14.866,2.418,0.501,0.109,0.079
20110228,Materials,194,0.047140,0.026097,0.073,0.523,1.67%,16.245,1.965,0.270,0.130,0.101
20110228,Telecommunication Services,48,0.044034,0.026549,0.000,0.508,6.06%,13.157,1.839,0.582,0.146,0.037
20110228,Utilities,98,0.015102,0.017284,0.613,0.919,4.18%,14.995,1.118,0.267,0.092,0.070
20110331,Consumer Discretionary,558,0.009389,0.000315,0.000,0.541,1.90%,15.048,1.881,0.369,0.135,0.099
20110331,Consumer Staples,164,0.008667,0.018132,0.175,0.536,2.47%,15.103,1.793,0.355,0.140,0.126
20110331,Energy,207,0.019394,0.019061,0.000,0.582,.760%,14.303,2.089,0.432,0.117,0.047
20110331,Financials,749,-0.008841,-0.023127,0.266,1.027,2.26%,12.548,0.980,0.542,0.017,0.053
20110331,Health Care,554,0.033231,0.023967,0.000,0.375,1.51%,-1.216,2.886,0.404,0.060,0.024
20110331,Industrials,533,0.026291,0.023040,0.000,0.585,1.48%,18.608,1.847,0.285,0.117,0.082
20110331,Information Technology,692,0.006449,-0.018569,0.000,0.442,1.52%,14.786,2.412,0.500,0.108,0.080
20110331,Materials,191,0.029025,0.019276,0.075,0.507,1.69%,17.273,2.086,0.270,0.130,0.101
20110331,Telecommunication Services,48,0.003009,0.048399,0.000,0.504,6.50%,13.275,1.803,0.582,0.146,0.042
20110331,Utilities,99,0.036153,0.008317,0.615,0.920,4.13%,15.476,1.154,0.268,0.092,0.070
20110430,Consumer Discretionary,553,0.022225,0.042182,0.000,0.535,1.79%,15.283,1.833,0.369,0.134,0.099
20110430,Consumer Staples,162,0.029572,0.051314,0.175,0.531,2.34%,15.209,1.875,0.341,0.141,0.126
20110430,Energy,208,-0.008964,0.016903,0.000,0.579,.764%,14.353,2.091,0.430,0.114,0.044
20110430,Financials,745,0.001564,-0.005927,0.249,1.030,2.24%,12.785,0.988,0.542,0.017,0.055
20110430,Health Care,558,0.051341,0.064627,0.000,0.373,1.44%,-1.238,3.040,0.402,0.056,0.024
20110430,Industrials,528,0.003245,0.023946,0.000,0.581,1.46%,18.843,1.835,0.286,0.117,0.082
20110430,Information Technology,688,0.011199,0.029782,0.000,0.442,1.47%,14.854,2.443,0.493,0.108,0.080
20110430,Materials,190,0.008593,0.021131,0.073,0.508,1.67%,17.256,2.109,0.270,0.130,0.103
20110430,Telecommunication Services,47,0.013175,0.017925,0.000,0.504,6.08%,13.029,2.008,0.581,0.145,0.042
20110430,Utilities,99,0.032203,0.038073,0.615,0.920,4.00%,15.674,1.186,0.268,0.092,0.070
20110531,Consumer Discretionary,549,-0.014442,-0.002938,0.000,0.537,1.84%,14.248,1.818,0.369,0.131,0.096
20110531,Consumer Staples,160,0.015211,0.026291,0.172,0.544,2.38%,15.570,1.762,0.347,0.154,0.128
20110531,Energy,210,-0.066215,-0.042899,0.000,0.474,.804%,11.316,1.921,0.447,0.115,0.039
20110531,Financials,743,-0.023812,-0.034907,0.392,1.021,2.31%,12.003,0.959,0.562,0.018,0.053
20110531,Health Care,555,0.006999,0.019702,0.000,0.346,1.43%,-0.942,3.041,0.394,0.067,0.017
20110531,Industrials,526,-0.036083,-0.029727,0.024,0.541,1.57%,16.262,1.733,0.287,0.122,0.087
20110531,Information Technology,688,-0.026929,-0.017500,0.000,0.417,1.51%,13.046,2.306,0.493,0.109,0.079
20110531,Materials,190,-0.019941,-0.022746,0.092,0.499,1.68%,14.489,1.965,0.274,0.141,0.119
20110531,Telecommunication Services,47,0.052004,0.018355,0.331,0.551,5.41%,14.493,2.047,0.580,0.152,0.038
20110531,Utilities,99,-0.005045,0.015107,0.620,0.892,4.04%,15.121,1.159,0.260,0.092,0.075
20110630,Consumer Discretionary,545,-0.016451,-0.004420,0.000,0.531,1.86%,13.808,1.753,0.368,0.131,0.099
20110630,Consumer Staples,159,-0.003836,-0.023310,0.182,0.544,2.61%,15.787,1.763,0.343,0.154,0.128
20110630,Energy,207,-0.048387,-0.019336,0.000,0.483,.907%,11.482,1.795,0.453,0.116,0.039
20110630,Financials,738,-0.020698,-0.026760,0.392,1.022,2.39%,11.935,0.940,0.565,0.018,0.054
20110630,Health Care,546,-0.039402,-0.016028,0.000,0.343,1.55%,-1.620,2.960,0.392,0.064,0.015
20110630,Industrials,529,-0.024860,-0.008617,0.024,0.547,1.62%,16.495,1.676,0.289,0.121,0.087
20110630,Information Technology,684,-0.028547,-0.025921,0.000,0.416,1.66%,13.225,2.205,0.496,0.110,0.081
20110630,Materials,189,-0.028527,-0.012157,0.097,0.499,1.74%,13.684,1.909,0.277,0.141,0.119
20110630,Telecommunication Services,46,-0.009387,-0.012586,0.339,0.570,5.48%,13.432,2.013,0.582,0.148,0.032
20110630,Utilities,98,-0.011444,-0.002538,0.628,0.894,4.09%,14.821,1.119,0.260,0.092,0.074
20110731,Consumer Discretionary,543,-0.016964,-0.012047,0.000,0.530,1.94%,13.867,1.741,0.368,0.131,0.100
20110731,Consumer Staples,159,-0.014066,-0.012786,0.182,0.544,2.66%,14.776,1.726,0.343,0.154,0.127
20110731,Energy,208,0.032997,0.008538,0.000,0.483,.864%,11.350,1.954,0.457,0.116,0.039
20110731,Financials,733,-0.021101,-0.041330,0.391,1.021,2.43%,11.519,0.915,0.566,0.018,0.056
20110731,Health Care,545,-0.032600,-0.039003,0.000,0.340,1.55%,-1.516,2.888,0.394,0.062,0.019
