None,region_id,region_type,region
51452,465,county,"Curry County;NM;Clovis, NM"
51505,464,county,Cross County;AR;nan
51554,463,county,"Crook County;WY;Gillette, WY"
51619,462,county,"Crook County;OR;Prineville, OR"
51673,461,county,"Crisp County;GA;Cordele, GA"
51732,460,county,"Creek County;OK;Tulsa, OK"
51789,459,county,Crane County;TX;nan
51843,458,county,"Craig County;VA;Roanoke, VA"
51900,457,county,Craig County;OK;nan
51958,456,county,"Coosa County;AL;Alexander City, AL"
52021,455,county,"Cooke County;TX;Gainesville, TX"
52084,454,county,"Comal County;TX;San Antonio-New Braunfels, TX"
52142,453,county,"Coles County;IL;Charleston-Mattoon, IL"
52193,452,county,"Cocke County;TN;Newport, TN"
52300,450,county,Cloud County;KS;nan
52353,449,county,Clark County;WI;nan
52412,448,county,"Clark County;WA;Portland-Vancouver-Hillsboro, OR-WA"
52463,447,county,Clark County;SD;nan
52512,446,county,"Clark County;OH;Springfield, OH"
52572,445,county,"Clark County;NV;Las Vegas-Henderson-Paradise, NV"
52621,444,county,"Clark County;MO;Fort Madison-Keokuk, IA-IL-MO"
52683,443,county,"Clark County;KY;Lexington-Fayette, KY"
52727,442,county,Clark County;KS;nan
52789,441,county,"Clark County;IN;Louisville/Jefferson County, KY-IN"
52839,440,county,Clark County;IL;nan
52907,439,county,Clark County;ID;nan
52960,438,county,"Clark County;AR;Arkadelphia, AR"
